naslov,ESRB_deskriptor
Assassin's Creed II,Language
Assassin's Creed II,Sexual Content
Assassin's Creed II,Strong Language
Assassin's Creed II,Violence
Metal Gear Solid 3: Snake Eater,Animated Blood
Metal Gear Solid 3: Snake Eater,Blood
Metal Gear Solid 3: Snake Eater,Blood and Gore
Metal Gear Solid 3: Snake Eater,Intense Violence
Metal Gear Solid 3: Snake Eater,Language
Metal Gear Solid 3: Snake Eater,Sexual Themes
Metal Gear Solid 3: Snake Eater,Suggestive Themes
Metal Gear Solid 3: Snake Eater,Violence
Twisted Metal: Black,Blood
Twisted Metal: Black,Blood and Gore
Twisted Metal: Black,Violence
Spyro: Year of the Dragon,Comic Mischief
Tomb Raider,Animated Blood
Tomb Raider,Blood
Tomb Raider,Violence
Resident Evil 4: Wii Edition,Blood
Resident Evil 4: Wii Edition,Blood and Gore
Resident Evil 4: Wii Edition,Intense Violence
Resident Evil 4: Wii Edition,Language
Resident Evil 4: Wii Edition,Violence
Shadow of the Colossus,Blood
Shadow of the Colossus,Fantasy Violence
Shadow of the Colossus,Violence
Borderlands 2,Blood
Borderlands 2,Blood and Gore
Borderlands 2,Intense Violence
Borderlands 2,Language
Borderlands 2,Sexual Themes
Borderlands 2,Use of Alcohol
Borderlands 2,Violence
Tom Clancy's Splinter Cell,Blood
Tom Clancy's Splinter Cell,Blood and Gore
Tom Clancy's Splinter Cell,Violence
Crysis,Blood
Crysis,Language
Crysis,Strong Language
Crysis,Violence
Ninja Gaiden,Blood
Ninja Gaiden,Blood and Gore
Ninja Gaiden,Violence
God of War: Chains of Olympus,Blood
God of War: Chains of Olympus,Blood and Gore
God of War: Chains of Olympus,Intense Violence
God of War: Chains of Olympus,Language
God of War: Chains of Olympus,Nudity
God of War: Chains of Olympus,Sexual Content
God of War: Chains of Olympus,Strong Language
God of War: Chains of Olympus,Suggestive Themes
God of War: Chains of Olympus,Violence
DOA2: Hardcore,Suggestive Themes
DOA2: Hardcore,Violence
World of Warcraft: The Burning Crusade,Blood
World of Warcraft: The Burning Crusade,Suggestive Themes
World of Warcraft: The Burning Crusade,Use of Alcohol
World of Warcraft: The Burning Crusade,Violence
The Longest Journey,Language
The Longest Journey,Strong Language
Tony Hawk's Pro Skater 2,Language
Tony Hawk's Pro Skater 2,Violence
Batman: Arkham Asylum,Alcohol Reference
Batman: Arkham Asylum,Blood
Batman: Arkham Asylum,Language
Batman: Arkham Asylum,Suggestive Themes
Batman: Arkham Asylum,Tobacco Reference
Batman: Arkham Asylum,Violence
Halo: Reach,Blood
Halo: Reach,Blood and Gore
Halo: Reach,Language
Halo: Reach,Violence
