naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
FreeSpace 2,1999-09-30,91,16,8.7,152,E,Volition Inc.,,1-8 Players
Colony Wars,1997-10-31,91,12,8.2,21,E,Psygnosis,,1 Player
Metal Gear Solid V: The Phantom Pain,2015-09-01,91,13,7.8,2520,M,Kojima Productions,,
Ratchet & Clank: Up Your Arsenal,2004-11-03,91,65,9.1,493,T,Insomniac Games,,1-4 Players
Resident Evil,2002-04-30,91,35,9.2,611,M,Capcom,,1 Player
FIFA Soccer 10,2009-10-20,91,56,7.6,225,E,EA Sports,,
Assassin's Creed II,2009-11-17,91,70,8.6,1747,M,Ubisoft Montreal,No Online Multiplayer,
Metal Gear Solid 3: Snake Eater,2004-11-17,91,68,9.1,1523,M,KCEJ,,1 Player
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,2019-09-27,91,50,8.6,571,T,Square Enix,No Online Multiplayer,
Twisted Metal: Black,2001-06-18,91,15,8.5,125,M,Incognito Inc.,,1-4 Players
Spyro: Year of the Dragon,2000-10-23,91,15,8.9,345,E,Insomniac Games,,1 Player
Tomb Raider,1996-11-15,91,13,8.4,237,T,Core Design Ltd.,,1 Player
Overwatch,2016-05-23,91,18,5.9,917,T,Blizzard Entertainment,Up to 12 Players,
Sekiro: Shadows Die Twice,2019-03-22,91,31,8.0,696,M,From Software,No Online Multiplayer,
Resident Evil 4: Wii Edition,2007-06-19,91,49,8.9,467,M,Capcom,,1 Player
Shadow of the Colossus,2005-10-18,91,77,9.1,1325,T,SCE Japan Studio,,1 Player
Forza Horizon 3,2016-09-23,91,91,8.0,1130,E,Playground Games,Up to 12 Players,
Peggle,2009-11-19,91,10,7.4,65,E,PopCap,,
The Legend of Zelda: Ocarina of Time / Master Quest,2003-02-28,91,10,8.9,181,E,Nintendo,,1 Player
Borderlands 2,2012-09-18,91,25,8.2,996,M,Gearbox Software,Up to 4 Players,
Sonic Mania Plus,2018-07-17,91,24,8.0,292,E,"Sega, Tantalus",2 Players Up to 4 Players,
Tom Clancy's Splinter Cell,2003-02-19,91,20,8.5,408,T,Ubisoft Montreal,,1 Player
Dead Cells,2018-08-07,91,18,8.0,114,T,Motion Twin,No Online Multiplayer,
Kentucky Route Zero - Act III,2014-05-06,91,7,6.7,165,,Cardboard Computer,,
NCAA Football 2003,2002-07-20,91,19,8.4,27,E,EA Sports,,1-8 Players
Crysis,2007-11-13,91,56,8.1,2503,M,Crytek,32 Players Online No Online Multiplayer,1 Player
Ninja Gaiden,2004-03-02,91,89,8.8,182,M,Team Ninja,,1 Player
God of War: Chains of Olympus,2008-03-04,91,79,8.5,817,M,Ready at Dawn,No Online Multiplayer,1 Player
Final Fantasy XIV: Shadowbringers,2019-07-02,91,18,8.4,276,T,Square Enix,,
DOA2: Hardcore,2000-10-25,91,20,8.0,62,T,Team Ninja,,1-4 Players
World of Warcraft: The Burning Crusade,2007-01-16,91,46,8.1,1041,T,Blizzard Entertainment,Massively Multiplayer,Massively Multiplayer
MLB 10: The Show,2010-03-02,91,33,8.2,112,E,SCEA,,
Shadow of the Colossus,2018-02-06,91,100,7.8,2114,T,"Bluepoint Games, SCE Japan Studio",,
Yoshi's Island: Super Mario Advance 3,2002-09-24,91,26,8.9,162,E,Nintendo,,1-4 Players
The Witcher 3: Wild Hunt - Blood and Wine,2016-05-30,91,27,9.1,1640,M,CD Projekt Red Studio,,
Tiger Woods PGA Tour 2005,2004-09-20,91,16,3.9,49,E,Headgate,,1-8 Players
ESPN NFL Football,2003-09-03,91,25,7.8,51,E,Visual Concepts,,1-4 Players
NCAA Football 2003,2002-07-20,91,11,6.6,8,E,EA Sports,,1-2 Players
The Longest Journey,2000-11-16,91,26,8.7,523,M,Funcom,,1 Player
Tony Hawk's Pro Skater 2,2000-10-25,91,22,8.5,204,T,Neversoft Entertainment,,1-4 Players
Star Wars Jedi Knight: Dark Forces II,1997-10-09,91,10,8.6,199,T,LucasArts,,1-32 Players
Batman: Arkham Asylum,2009-09-15,91,29,8.7,2391,T,Rocksteady Studios,No Online Multiplayer,
Halo: Reach,2010-09-14,91,99,8.2,2486,M,Bungie,,1-4 Players
Galactic Civilizations II: Dark Avatar,2007-02-14,91,22,7.8,49,,Stardock,,1 Player
Mass Effect,2007-11-20,91,74,8.7,1913,M,BioWare,,1 Player
The Operative: No One Lives Forever,2000-11-11,91,32,8.7,216,M,Monolith Productions,,1-16 Players
Crusader Kings III,2020-09-01,91,59,8.4,296,,Paradox Interactive,,
Forza Motorsport 4,2011-10-11,91,83,8.3,673,E,Turn 10,,
Resident Evil,1996-03-30,91,8,9.0,526,M,Capcom,,1 Player
Battlefield 2,2005-06-21,91,55,8.4,1017,T,Digital Illusions,,1 Player
God of War Collection,2009-11-17,91,50,8.7,678,M,Bluepoint Games,,
Celeste,2018-01-25,91,7,7.2,321,E10+,Matt Makes Games Inc.,No Online Multiplayer,
Madden NFL 2005,2004-08-09,91,30,8.0,83,E,EA Tiburon,2 Players Online,1-4 Players
Tony Hawk's Pro Skater 3,2001-11-13,91,27,8.4,34,T,Neversoft Entertainment,,
Street Fighter IV,2009-07-01,91,23,7.8,414,T,Capcom,2 Players Online,1-2 Players
Fallout 3,2008-10-28,91,48,7.8,4462,M,Bethesda Game Studios,,1 Player
Batman: Arkham City,2011-11-21,91,27,8.7,2465,T,Rocksteady Studios,,
Fez,2013-05-01,91,11,6.7,1158,E,Polytron Corp.,No Online Multiplayer,1 Player
Planescape: Torment,1999-12-14,91,22,9.2,1049,T,Black Isle Studios,No Online Multiplayer,1 Player
Gears of War 3,2011-09-20,91,96,8.0,1750,M,Epic Games,,1-4 Players
Killzone 2,2009-02-27,91,94,8.1,1672,M,Guerrilla,,1 Player
Neverwinter Nights,2002-06-16,91,34,8.1,610,T,BioWare,,1-64 Players
Batman: Arkham Asylum,2009-08-25,91,70,8.9,1497,T,Rocksteady Studios,No Online Multiplayer,
Castlevania: Aria of Sorrow,2003-05-06,91,29,8.8,185,T,KCET,,1-2 Players
No One Lives Forever 2: A Spy in H.A.R.M.'s Way,2002-09-30,91,29,8.7,241,M,Monolith Productions,,
INSIDE,2016-08-23,91,18,8.4,785,M,PLAYDEAD,,
Legacy of Kain: Soul Reaver,1999-08-16,91,17,8.9,205,T,Crystal Dynamics,,1 Player
Dragon Age: Origins,2009-11-03,91,67,8.7,4378,M,BioWare,,1 Player
Golden Sun,2001-11-11,91,29,9.0,285,E,Camelot Software Planning,,1-2 Players
Rayman Legends,2013-09-03,91,23,8.7,361,E10+,Ubisoft Montpellier,No Online Multiplayer,
F1 2020,2020-07-10,91,20,7.1,84,E,Codemasters,2 Players,
Mark of the Ninja,2012-10-16,91,14,8.0,1077,M,Klei Entertainment,,1 Player
Disco Elysium,2019-10-15,91,64,8.4,804,,ZA/UM,,
World Soccer Winning Eleven 8 International,2005-02-01,91,26,8.3,50,E,KCET,,1-8 Players
SteamWorld Heist: Ultimate Edition,2017-12-28,91,9,8.5,140,E10+,Image & Form,No Online Multiplayer,
The Legend of Zelda: A Link Between Worlds,2013-11-22,91,81,9.0,1505,E,Nintendo,,
Spelunky 2,2020-09-29,91,15,6.9,52,,"Mossmouth, Bitworks",,
NieR: Automata - Game of the YoRHa Edition,2019-02-26,91,10,8.6,468,M,PlatinumGames,No Online Multiplayer,
Dark Souls II,2014-04-25,91,36,7.2,2703,T,From Software,,
Castlevania: Circle of the Moon,2001-06-10,91,22,8.5,90,T,KCEK,,1 Player
Resident Evil 2,2019-01-25,91,85,8.9,3508,M,Capcom R&D Division 1,No Online Multiplayer,
Far Cry 3,2012-12-04,91,39,8.6,1406,M,Ubisoft Montreal,Up to 14 Players Up to 4 Players,
Dark Souls II,2014-03-11,91,69,8.1,1266,T,From Software,,
Shovel Knight: Treasure Trove,2017-03-03,91,17,8.2,425,E,Yacht Club Games,No Online Multiplayer,
flower,2013-11-15,91,11,7.3,716,E,Bluepoint Games,,1 Player
Mario Kart DS,2005-11-14,91,64,8.7,657,E,Nintendo,,1-8 Players
Call of Duty,2003-10-29,91,44,8.5,1035,T,Infinity Ward,,1-32 Players
Madden NFL 2004,2003-08-12,91,13,7.1,28,E,EA Tiburon,,1-8 Players
Mario Golf,1999-06-30,91,14,8.0,38,E,Camelot Software Planning,,1-4 Players
Crash Bandicoot 3: Warped,1998-10-31,91,12,9.0,705,E,Naughty Dog,,1 Player
Assassin's Creed II,2009-11-17,90,82,8.8,1653,M,Ubisoft Montreal,No Online Multiplayer,
Project Gotham Racing 2,2003-11-17,90,50,8.7,86,E,Bizarre Creations,8 Players Online,1-8 Players
NBA 2K12,2011-10-04,90,38,6.7,134,E,Visual Concepts,Up to 10 Players,
The Sims 2,2004-09-14,90,61,8.7,891,T,Maxis,,1 Player
Animal Crossing: New Horizons,2020-03-20,90,110,5.4,5738,E,Nintendo,Up to 8 Players,
Final Fantasy XIV: Shadowbringers,2019-07-02,90,25,9.0,631,T,Square Enix,,
World of Warcraft: Cataclysm,2010-12-07,90,53,5.7,1163,T,Blizzard Entertainment,,
Half-Life 2,2005-11-15,90,35,8.4,147,M,Valve Software,,1 Player
NCAA Football 2003,2002-07-20,90,14,7.3,15,E,EA Sports,,1-4 Players
Rayman 2: The Great Escape,1999-10-31,90,12,8.8,94,E,Ubisoft Montpellier,,1 Player
Bayonetta,2010-01-05,90,86,8.1,718,M,PlatinumGames,No Online Multiplayer,
Diablo III: Ultimate Evil Edition,2014-08-19,90,63,7.9,1411,M,Blizzard Entertainment,Up to 4 Players,
Overwatch,2016-05-23,90,31,6.4,2139,T,Blizzard Entertainment,Up to 12 Players,
Far Cry 3,2012-12-04,90,32,8.5,1235,M,Ubisoft Montreal,Up to 4 Players,
ICO,2001-09-24,90,59,8.8,458,T,SCE Japan Studio,,1 Player
Tom Clancy's Ghost Recon Advanced Warfighter,2006-03-09,90,78,7.9,228,T,Ubisoft Paris,16 Players Online Up to 16 Players,1-16 Players
FIFA Soccer 12,2011-09-27,90,44,7.2,355,E,Electronic Arts,,
World of Goo,2008-10-12,90,26,8.4,720,E,2D Boy,,1-2 Players
Mario & Luigi: Superstar Saga,2003-11-17,90,42,8.9,229,E,Alphadream Corporation,,1-4 Players
Shovel Knight,2015-04-21,90,18,7.7,421,E,Yacht Club Games,,
Tony Hawk's Underground,2003-10-27,90,38,8.7,156,T,Neversoft Entertainment,,1-8 Players
Marvel vs. Capcom 2,2000-06-29,90,22,8.8,87,T,Capcom,,
Ape Escape,1999-05-31,90,19,8.5,79,E,SCEI,,1 Player
Syphon Filter,1999-01-31,90,19,8.8,155,T,Eidetic,,1 Player
Mario & Luigi: Bowser's Inside Story,2009-09-14,90,58,8.8,366,E,Alphadream Corporation,,1 Player
Trials Evolution,2012-04-18,90,77,8.0,278,E10+,"Ubisoft, RedLynx",,
Grand Theft Auto IV: The Lost and Damned,2009-02-17,90,79,8.0,345,M,Rockstar North,,
FIFA Soccer 12,2011-09-27,90,69,6.8,346,E,Electronic Arts,,
Monster Hunter: World - Iceborne,2019-09-06,90,9,8.2,72,T,Capcom,,
Spelunky,2013-08-08,90,9,7.2,529,,"Derek Yu, Mossmouth",No Online Multiplayer,
FIFA Soccer 10,2009-10-20,90,63,7.4,143,E,EA Sports,,
Ratchet & Clank: Going Commando,2003-11-11,90,46,8.9,350,T,Insomniac Games,,1 Player
NBA Street Vol. 2,2003-04-28,90,31,8.7,80,E,Electronic Arts,,1-4 Players
Tennis 2K2,2001-10-24,90,13,7.8,21,E,Hitmaker,,
Black & White,2001-03-26,90,34,7.7,360,T,Lionhead Studios,,
Fallout 3,2008-10-28,90,57,7.9,1067,M,Bethesda Game Studios,,1 Player
The Legend of Zelda: The Wind Waker HD,2013-09-20,90,70,9.0,1281,E10+,"Nintendo, HexaDrive",,1 Player
ESPN NFL 2K5,2004-07-20,90,37,8.4,98,E,Visual Concepts,,1-2 Players
Portal,2007-10-10,90,27,9.2,5188,T,Valve Software,,1 Player
Tetris Effect,2019-07-23,90,11,6.6,96,E,Enhance Games,,
The Legend of Zelda: Phantom Hourglass,2007-10-01,90,57,8.0,533,E,Nintendo,2 Players,1-2 Players
MVP Baseball 2004,2004-03-09,90,28,8.5,55,E,EA Sports,,1-2 Players
Tony Hawk's Pro Skater 3,2002-03-04,90,20,7.0,8,E,Vicarious Visions,,
Dance Dance Revolution,2001-05-09,90,8,8.4,104,E,Konami,,1-2 Players
NHL 2001,2000-09-28,90,22,6.6,47,E,EA Sports,,1-8 Players
Advance Wars: Dual Strike,2005-08-22,90,49,8.9,198,E,Intelligent Systems,,1-8 Players
Rayman Legends,2014-02-18,90,16,8.4,885,E10+,Ubisoft Montpellier,,
MLB 11: The Show,2011-03-08,90,30,8.0,87,E,SCEA San Diego Studios,Up to 4 Players,
NieR: Automata - Become as Gods Edition,2018-06-26,90,30,9.0,504,M,PlatinumGames,No Online Multiplayer,
Jak and Daxter: The Precursor Legacy,2001-12-03,90,35,8.8,466,E,Naughty Dog,,1 Player
Star Wars Rogue Leader: Rogue Squadron II,2001-11-09,90,45,8.6,108,T,Factor 5,,1 Player
Bastion,2018-09-13,90,7,7.7,93,E10+,Supergiant Games,,
Monster Hunter: World,2018-01-26,90,17,7.1,426,T,Capcom,Up to 16 Players Up to 4 Players,
Stephen's Sausage Roll,2016-04-18,90,9,5.4,93,,increpare,,
Velocity 2X,2014-09-02,90,10,7.2,152,E10+,FuturLab,,
Burnout Revenge,2005-09-13,90,52,8.8,172,E10+,Criterion Games,6 Players Online,1-2 Players
Tony Hawk's Pro Skater 3,2002-03-28,90,15,8.4,117,T,Gearbox Software,Up to 8 Players,1-8 Players
NBA 2K2,2002-03-20,90,13,7.3,4,E,Visual Concepts,,1-4 Players
NCAA Football 2002,2001-07-23,90,18,8.4,24,E,EA Sports,,1-8 Players
Unreal Tournament,2001-03-13,90,17,8.8,23,M,Secret Level,,
Deus Ex,2000-06-23,90,28,9.2,1350,M,Ion Storm,Online Multiplayer,1 Player
Donkey Kong 64,1999-10-31,90,14,8.6,260,E,Rare Ltd.,,1-4 Players
Panzer Dragoon Orta,2003-01-12,90,41,8.4,80,T,Smilebit,,1 Player
Portal: Still Alive,2008-10-22,90,21,8.3,243,T,Valve Software,,1 Player
Half-Life 2: Episode Two,2007-10-10,90,21,9.1,2349,M,Valve Software,,1 Player
Fez,2014-03-25,90,17,6.4,549,E,"Polytron Corp., BlitWorks",No Online Multiplayer,1 Player
Braid,2009-04-10,90,11,8.6,936,E10+,"Number None Inc., Knockout Games",,1 Player
The Chronicles of Riddick: Escape From Butcher Bay - Developer's Cut,2004-12-08,90,38,8.6,340,M,Starbreeze,,1 Player
Shin Megami Tensei: Persona 4,2008-12-08,90,47,7.6,844,M,Atlus Co.,,1 Player
Hollow Knight,2018-06-12,90,27,8.9,1174,E10+,Team Cherry,No Online Multiplayer,
MLB 09: The Show,2009-03-03,90,27,8.1,61,E,SCEA San Diego Studios,,
Blast Corps,1997-02-28,90,12,8.4,55,E,Rare Ltd.,,1 Player
Shovel Knight,2014-06-26,90,9,8.3,282,E,Yacht Club Games,,
Ori and the Will of the Wisps,2020-03-11,90,71,8.8,1440,E,Moon Studios,No Online Multiplayer,
MVP Baseball 2004,2004-03-09,90,31,7.8,23,E,EA Sports,,1-2 Players
Tony Hawk's Pro Skater 4,2002-10-23,90,25,8.4,20,T,Neversoft Entertainment,,1-2 Players
Sid Meier's Civilization III,2001-10-30,90,24,8.4,325,E,Firaxis Games,,1 Player
NFL 2K2,2001-09-19,90,12,8.2,10,E,Visual Concepts,,
WWF SmackDown! 2: Know Your Role,2000-11-21,90,15,8.4,56,T,Yuke's,,1-4 Players
LIMBO,2010-07-21,90,89,8.4,502,T,PLAYDEAD,,
Ori and the Blind Forest: Definitive Edition,2019-09-27,90,19,8.6,293,E,Moon Studios,No Online Multiplayer,
Mark of the Ninja,2012-09-07,90,51,7.4,215,M,Klei Entertainment,,1 Player
Silent Hunter III,2005-03-15,90,23,7.8,109,T,Ubisoft,,1 Player
Bayonetta,2017-04-11,90,17,8.1,488,M,"PlatinumGames, Nex Entertainment",,
Assassin's Creed: Brotherhood,2010-11-16,90,59,8.3,1092,M,Ubisoft Montreal,Up to 8 Players,
Okami,2008-04-15,90,44,8.8,269,T,Ready at Dawn,,1 Player
Super Meat Boy,2010-10-20,90,51,8.0,293,T,Team Meat,,1 Player
Grand Theft Auto: Chinatown Wars,2009-10-20,90,77,7.4,202,M,Rockstar Leeds,,
Dead Space 2,2011-01-25,90,83,8.7,791,M,Visceral Games,Up to 8 Players,
Pikmin 2,2004-08-30,90,54,9.0,200,E,Nintendo,,1-2 Players
Okami HD,2012-10-30,90,44,8.9,386,T,HexaDrive,,1 Player
NBA 2K17,2016-09-16,90,17,5.9,133,E,Visual Concepts,,
Madden NFL 2002,2001-10-29,90,16,7.6,11,E,EA Sports,,1-4 Players
Grandia II,2000-12-06,90,17,8.7,80,T,Game Arts,,
Geometry Wars: Retro Evolved 2,2008-07-30,90,52,8.3,92,E,Bizarre Creations,,1-4 Players
Sid Meier's Civilization V,2010-09-21,90,70,8.0,2736,E10+,Firaxis Games,Up to 4 Players,
Super Mario 3D Land,2011-11-13,90,82,8.4,1239,E,Nintendo,No Online Multiplayer,1 Player
Mario Kart 8 DLC Pack 2,2015-04-23,90,11,8.9,303,E,Nintendo,,
Falcon 4.0: Allied Force,2005-06-28,90,7,7.8,40,T,Lead Pursuit,16 Players Online,1 Player
Deus Ex: Human Revolution,2011-08-23,90,52,8.5,3582,M,Nixxes Software,, 1 Player
XCOM: Enemy Unknown,2012-10-09,90,35,8.3,394,M,Firaxis Games,2 Players,
Metroid Prime 3: Corruption,2007-08-27,90,62,8.8,612,T,Retro Studios,,1 Player
Monster Hunter: World,2018-01-26,90,93,7.7,1742,T,Capcom,Up to 4 Players,
Flight Simulator 2002,2001-10-19,90,9,7.3,44,E,Microsoft Game Studios,,
Banjo-Tooie,2000-11-19,90,15,8.8,222,E,Rare Ltd.,,
Brothers: A Tale of Two Sons,2013-09-03,90,9,8.5,1460,T,Starbreeze,No Online Multiplayer,
Dota 2,2013-07-09,90,33,6.5,11474,,Valve Software,,
World Soccer Winning Eleven 8 International,2005-02-02,90,25,7.7,13,E,KCET,,1-4 Players
TimeSplitters 2,2002-10-09,90,33,8.8,160,T,Free Radical Design,,1-16 Players
Guild Wars 2,2012-08-28,90,69,8.1,3065,T,ArenaNet,,
Forza Motorsport 2,2007-05-29,90,66,8.3,401,E,Turn 10,8 Players Online,1-2 Players
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,2015-10-20,90,7,7.9,181,M,Telltale Games,,
Pushmo,2011-12-08,90,31,8.3,208,E,Intelligent Systems,,1 Player
The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-12,90,25,9.0,1704,M,CD Projekt Red Studio,,
Metal Gear Solid HD Collection,2011-11-08,90,19,8.8,215,M,"Genki, Bluepoint Games",Up to 6 Players,
Viewtiful Joe,2004-08-24,90,34,8.3,47,T,Clover Studio,,1 Player
Madden NFL 2005,2004-08-09,90,26,,,E,EA Tiburon,,1-4 Players
Tiger Woods PGA Tour 2003,2002-10-27,90,10,6.7,6,E,EA Sports,,1-4 Players
Freedom Force,2002-03-24,90,27,7.7,87,T,Irrational Games,,1-4 Players
NBA 2K2,2002-02-27,90,17,7.6,5,E,Visual Concepts,,1-4 Players
Colin McRae Rally 2.0,2000-12-05,90,13,8.3,56,E,Codemasters,,1-2 Players
FIFA Soccer 13,2012-09-25,90,48,6.2,425,E,Electronic Arts,,
Into the Breach,2018-02-27,90,56,7.8,361,E10+,Subset Games,No Online Multiplayer,
LIMBO,2011-07-19,90,21,8.0,312,T,PLAYDEAD,,
GTR 2,2006-09-29,90,26,8.6,84,E,SimBin,24 Players Online,1-2 Players
Sekiro: Shadows Die Twice,2019-03-22,90,76,8.1,3228,M,From Software,No Online Multiplayer,
Yakuza 0,2020-02-26,90,9,7.9,163,M,Ryu ga Gotoku Studios,No Online Multiplayer,
NBA 2K13,2012-10-02,90,26,8.0,108,E,Visual Concepts,,
Grand Theft Auto IV,2008-12-02,90,40,6.9,2985,M,Rockstar Toronto,32 Players Online Up to 16 Players,1 Player
Total War: Shogun 2,2011-03-15,90,62,8.4,1345,T,Creative Assembly,Online Multiplayer,
Empire: Total War,2009-03-03,90,62,7.0,3113,T,Creative Assembly,,
Rayman Legends,2013-09-03,90,35,8.2,250,E10+,Ubisoft Montpellier,No Online Multiplayer,
Astro Bot: Rescue Mission,2018-10-02,90,51,8.9,459,E10+,JapanStudio,,
Bayonetta + Bayonetta 2,2018-02-16,90,27,8.7,350,M,PlatinumGames,No Online Multiplayer,
Kentucky Route Zero - Act IV,2016-07-20,90,8,6.3,47,,Cardboard Computer,,
Guacamelee! Super Turbo Championship Edition,2014-07-02,90,9,7.7,143,E10+,DrinkBox Studios,,
NBA 2K12,2011-10-04,90,42,7.7,143,E,Visual Concepts,,
ESPN NHL Hockey,2003-09-09,90,19,7.0,22,E,Kush Games,,1-8 Players
Rayman 2 Revolution,2001-01-30,90,16,8.6,67,E,Ubisoft,,1 Player
Madden NFL 2001,2000-08-22,90,14,6.8,4,E,EA Sports,,
Final Fantasy VIII,1999-09-07,90,24,8.7,1055,T,SquareSoft,,1 Player
Beetle Adventure Racing,1999-02-28,90,14,7.5,22,E,Paradigm Entertainment,,1-4 Players
Command & Conquer: Red Alert,1996-10-31,90,7,8.8,360,T,Westwood Studios,,1-6 Players
The Witcher 3: Wild Hunt - Hearts of Stone,2015-10-13,89,37,9.1,2622,M,CD Projekt Red Studio,,
Star Wars Jedi Knight II: Jedi Outcast,2002-03-26,89,35,8.7,453,T,Raven Software,,1-32 Players
Wipeout HD Fury,2009-07-23,89,15,8.2,135,E10+,Studio Liverpool,,
Halo 2 Multiplayer Map Pack,2005-07-05,89,37,7.8,40,M,Bungie Software,16 Players Online,1-16 Players
Resident Evil 2,2019-01-25,89,28,9.0,1809,M,Capcom R&D Division 1,No Online Multiplayer,
Borderlands 2,2012-09-18,89,59,8.3,966,M,Gearbox Software,Up to 4 Players,
Shin Megami Tensei: Persona 3 Portable,2010-07-05,89,40,7.4,673,M,Atlus,No Online Multiplayer,
XCOM: Enemy Unknown,2012-10-09,89,20,8.3,320,M,Firaxis Games,2 Players,
Xenoblade Chronicles: Definitive Edition,2020-05-29,89,92,8.9,886,T,Monolith Soft,No Online Multiplayer,
Call of Duty 2,2005-11-17,89,65,8.2,356,T,Infinity Ward,,1-16 Players
Burnout Revenge,2005-09-13,89,65,8.4,72,E10+,Criterion Games,6 Players Online,1-2 Players
Dragon Quest VIII: Journey of the Cursed King,2005-11-15,89,63,8.7,354,T,Level 5,,1 Player
Metroid: Zero Mission,2004-02-09,89,50,8.8,228,E,Nintendo,,1-2 Players
The Legend of Zelda: Majora's Mask 3D,2015-02-13,89,82,8.9,710,E10+,GREZZO,No Online Multiplayer,
Skylanders Swap Force,2013-10-13,89,7,6.1,105,E10+,Vicarious Visions,,
The Walking Dead: A Telltale Games Series,2012-04-24,89,14,8.8,2900,,Telltale Games,No Online Multiplayer,1 Player
Tiger Woods PGA Tour 2004,2003-09-22,89,23,8.6,44,E,EA Sports,,1-4 Players
Age of Mythology,2002-11-01,89,31,8.9,652,T,Ensemble Studios,,1-12 Players
Pikmin,2001-12-02,89,39,8.7,182,E,Nintendo,,1 Player
Madden NFL 2002,2001-11-17,89,12,6.0,5,E,EA Sports,,1-4 Players
Sacrifice,2000-11-05,89,31,8.7,153,M,Shiny Entertainment,,1-4 Players
Samba de Amigo,2000-10-16,89,20,8.4,23,E,Sonic Team,,
Wipeout 3,1999-08-31,89,14,8.8,32,E,Psygnosis,,1-2 Players
Monster Hunter: World - Iceborne,2019-09-06,89,65,8.4,297,T,Capcom,,
Plants vs. Zombies,2010-09-08,89,27,8.4,172,E10+,PopCap,,
Dead Cells,2018-08-07,89,36,8.4,316,T,Motion Twin,No Online Multiplayer,
Dark Souls III,2016-04-11,89,56,8.4,3141,M,From Software,Up to 6 Players,
Rez HD,2008-01-30,89,41,8.0,65,E,HexaDrive,,1 Player
NBA Street V3,2005-02-08,89,36,8.4,45,E,EA Canada,2 Players Online,1-6 Players
Demon's Souls,2009-10-06,89,81,8.9,1692,M,From Software,,1 Player
Pillars of Eternity,2015-03-26,89,71,8.3,2520,M,Obsidian Entertainment,No Online Multiplayer,
The Elder Scrolls III: Morrowind,2002-05-01,89,30,8.9,1561,T,Bethesda Softworks,,1 Player
Castlevania: Symphony of the Night,2007-03-21,89,21,8.6,149,T,Digital Eclipse,,1 Player
Into the Breach,2018-08-28,89,15,7.9,137,E10+,Subset Games,No Online Multiplayer,
F1 2019,2019-06-25,89,15,6.8,48,E,Codemasters, Up to 20 Players,
Fable II,2008-10-21,89,95,6.6,2569,M,Lionhead Studios,,1-2 Players
Rez Infinite,2016-10-13,89,47,7.6,187,E10+,"Q Entertainment, Monstars Inc., Enhance Games",,
Rocksmith 2014 Edition,2013-10-22,89,7,7.9,161,T,Ubisoft,No Online Multiplayer,
NHL 2K3,2002-11-10,89,25,7.8,18,E,Treyarch,,1-8 Players
Final Fantasy Chronicles,2001-06-29,89,15,9.1,185,T,TOSE,,1-2 Players
Fallout,1997-10-09,89,12,8.8,1254,M,Black Isle Studios,No Online Multiplayer,1 Player
The Beatles: Rock Band,2009-09-09,89,25,7.7,56,T,Harmonix Music Systems,,
Assassin's Creed: Brotherhood,2010-11-16,89,81,8.4,824,M,Ubisoft Montreal,Up to 8 Players,
Left 4 Dead 2,2009-11-17,89,76,8.5,754,M,Valve Software,Up to 8 Players,
World Soccer Winning Eleven 9,2006-04-28,89,7,8.2,93,E,KCET,,
Worldwide Soccer Manager 2005,2004-12-07,89,18,8.3,58,E,Sports Interactive,,1 Player
Dead Cells,2018-08-07,89,34,8.0,404,,Motion Twin,,
Yakuza: Like a Dragon,2020-11-10,89,13,,,M,Sega,,
There is no game : Wrong dimension,2020-08-06,89,9,8.8,55,,Draw Me A Pixel,,
Axiom Verge,2016-09-01,89,8,8.5,47,E10+,Tom Happ,,
Left 4 Dead,2008-11-17,89,67,7.9,1360,M,Certain Affinity,,
Left 4 Dead,2008-11-17,89,58,9.1,4071,M,Valve Software,Up to 8 Players,
Left 4 Dead 2,2009-11-16,89,55,8.4,3066,M,Valve Software,,
