naslov,datum,metascore,stevilo_glasov_metascore,ocena_uporabnikov,stevilo_glasov_uporabnikov,oznaka,developer,stevilo_online_igralcev,stevilo_igralcev
Final Fantasy VI Advance,2007-02-05,92,25,8.7,412,E10+,TOSE,,1-2 Players
Rayman Legends,2013-09-03,92,35,8.7,539,E10+,Ubisoft Montpellier,No Online Multiplayer,
Tiger Woods PGA Tour 2003,2002-10-31,92,14,5.1,37,E,Headgate,,1-8 Players
Madden NFL 2005,2004-08-09,91,39,7.4,30,E,EA Tiburon,2 Players Online,1-4 Players
Super Street Fighter IV,2010-04-27,91,55,7.7,129,T,Capcom,Up to 8 Players,
Pac-Man Championship Edition DX,2010-11-23,91,25,7.8,91,E,Namco Bandai Games,,
Rock Band 2,2008-10-19,91,24,8.0,98,T,Harmonix Music Systems,,1-4 Players
Microsoft Flight Simulator,2020-08-18,91,64,7.2,1123,E,Asobo Studio,Online Multiplayer,
Dark Souls II,2014-03-11,91,30,7.9,1035,T,From Software,,
Dishonored,2012-10-08,91,29,8.4,4336,M,Arkane Studios,No Online Multiplayer,
ESPN NFL Football,2003-09-03,91,20,8.5,25,E,Visual Concepts,,1-16 Players
Medal of Honor: Allied Assault,2002-01-20,91,34,8.6,509,T,2015,,
Myth: The Fallen Lords,1997-10-31,91,9,8.5,93,M,"Bungie Software, Bungie",,1-16 Players
LittleBigPlanet 2,2011-01-18,91,86,8.6,754,E,Media Molecule,4 Players Online,1-4 Players
INSIDE,2018-06-28,91,30,8.5,182,M,PLAYDEAD,No Online Multiplayer,
Guitar Hero,2005-11-07,91,65,8.6,203,T,Harmonix Music Systems,,1-2 Players
World of Warcraft: Wrath of the Lich King,2008-11-13,91,47,7.9,1294,T,Blizzard Entertainment,,
Rock Band 3,2010-10-26,91,10,6.9,39,T,Backbone Entertainment,,
Metroid Prime Trilogy,2009-08-24,91,48,9.0,412,T,Retro Studios,No Online Multiplayer,
Overwatch,2016-05-23,91,64,6.5,5896,T,Blizzard Entertainment,Up to 12 Players,
F1 Challenge '99-'02,2003-06-24,91,8,7.5,77,E,Electronic Arts,,1-8 Players
Tony Hawk's Pro Skater 4,2002-10-23,91,19,8.4,30,T,Neversoft Entertainment,,1-8 Players
Madden NFL 2001,2000-10-23,91,25,7.5,10,E,EA Sports,,1-8 Players
Baldur's Gate,1998-12-21,91,16,8.9,759,T,BioWare,Online Multiplayer Up to 6 Players,1-6 Players
Bayonetta 2,2014-09-20,91,80,8.9,1328,M,PlatinumGames,No Online Multiplayer,
The Witcher 3: Wild Hunt,2015-05-19,91,13,9.2,4799,M,CD Projekt Red Studio,,
Rock Band 3,2010-10-26,91,34,8.1,101,T,Harmonix Music Systems,,
Klonoa 2: Lunatea's Veil,2001-07-25,91,18,8.7,113,E,Namco,,1 Player
IL-2 Sturmovik,2001-11-18,91,12,8.7,164,T,"1C, 1C Entertainment",,1-32 Players
Mario Tennis,2000-08-28,91,16,8.8,142,E,Camelot Software Planning,,
